ID,DATE,TIME,PXL_X,PXL_Y,HPC_X,HPC_Y,PXL_SIZE_X,PXL_SIZE_Y,HPC_SIZE_X,HPC_SIZE_Y,304_LOW_THRESH_INTEN,304_AVG_INTEN,304_MED_INTEN,304_MAX_INTEN,UNSIG_GAUSS,AVG_GAUSS,MED_GAUSS
00050,2011-12-05,00:00:08,3475,2652,852.310,363.580,110,110,66,66,450.0,631.1,539,1734,58975.831,4.329,nan
00051,2012-01-10,00:00:08,2319,2516,159.250,282.029,238,238,142,142,450.0,622.8,572,3677,2262353.041,69.473,nan
00052,2012-01-10,00:00:08,3373,2551,791.100,303.220,222,222,133,133,450.0,641.8,565,4451,1420350.362,-50.556,nan
00053,2012-01-22,00:00:08,2263,2924,118.610,528.968,290,290,174,174,450.0,679.1,585,16327,3087183.696,8.491,nan
00054,2012-02-15,00:00:08,3150,1706,650.781,-201.249,106,106,63,63,450.0,641.0,600,1578,352830.736,143.956,nan
00055,2012-02-15,00:00:08,1804,2938,-156.379,537.046,110,110,66,66,450.0,622.7,573,1268,112789.855,11.872,2.761
00056,2012-02-27,00:00:08,863,2434,-720.254,234.792,110,110,66,66,450.0,515.2,494,849,161632.410,-16.143,0.000
00057,2012-03-10,00:00:08,2915,1786,509.946,-153.256,102,102,61,61,450.0,693.4,630,2180,509225.773,176.981,nan
00058,2012-04-15,00:00:08,2966,2306,541.416,158.021,180,180,108,108,450.0,643.6,592,2766,867975.800,-19.024,nan
00059,2012-04-27,00:00:08,2770,2462,424.335,251.166,202,202,121,121,450.0,1159.5,721,10005,759276.846,-15.409,nan
00060,2012-05-15,00:00:08,3219,2238,693.495,116.269,294,294,176,176,450.0,1023.9,659,8665,2092901.745,-18.518,nan
00061,2012-05-15,00:00:08,1152,2490,-545.695,266.925,230,230,138,138,450.0,744.6,614,6026,682803.400,16.393,21.155
00062,2012-05-27,00:00:08,1209,1722,-510.417,-193.578,202,202,121,121,450.0,716.3,597,4444,999405.787,-28.690,nan
00063,2012-05-27,00:00:08,2943,2538,528.931,295.952,106,106,63,63,450.0,604.5,543,3030,71280.757,2.818,nan
00064,2012-06-08,00:00:08,2312,2317,150.663,163.063,500,500,300,300,450.0,625.9,552,11227,3987133.653,-3.672,nan
00065,2012-07-14,00:00:07,2606,1438,327.329,-363.773,608,608,364,364,450.0,685.2,604,3774,15619808.499,-9.781,86.436
00066,2012-07-14,00:00:07,3310,2278,749.197,139.937,112,112,67,67,450.0,541.9,504,1774,81435.134,2.659,0.000
00067,2012-07-26,00:00:07,2011,1455,-29.819,-353.612,268,268,160,160,450.0,832.3,618,11834,1604785.274,-8.863,nan
00068,2012-08-31,00:00:07,1353,1912,-417.696,-81.929,164,164,98,98,450.0,931.1,691,15706,937875.097,44.724,nan
00069,2012-08-31,00:00:07,1906,2148,-86.227,59.662,214,214,128,128,450.0,677.7,589,10021,833059.308,23.576,nan
00070,2012-08-31,00:00:07,3415,2408,818.345,215.833,174,174,104,104,450.0,823.5,669,7033,965736.771,-37.924,nan
00071,2012-09-24,00:00:07,1611,2139,-263.673,54.105,234,234,140,140,450.0,748.0,648,5987,1155103.610,19.280,26.003
00072,2012-10-18,00:00:07,2465,1125,248.003,-552.799,160,160,96,96,450.0,560.1,534,961,452745.511,-5.390,nan
00073,2012-10-18,00:00:07,1683,2094,-220.993,27.946,224,224,134,134,450.0,583.2,556,1178,810180.770,32.350,nan
00074,2012-10-30,00:00:07,2980,1636,556.551,-246.208,264,264,158,158,450.0,636.2,590,3529,2884573.341,5.821,nan
00075,2012-11-11,00:00:07,1683,1312,-221.407,-440.391,246,246,147,147,450.0,662.1,612,1950,2505875.840,-30.960,nan
00076,2012-11-23,00:00:07,2515,2236,277.135,113.792,250,250,150,150,450.0,659.0,572,11245,2453994.988,-63.858,nan
00077,2012-11-23,00:00:07,3200,2449,687.740,241.620,244,244,146,146,450.0,670.4,588,2513,768971.695,-2.841,nan
00078,2012-12-17,00:00:07,3515,2528,875.823,289.628,224,224,134,134,450.0,762.1,647,3915,612056.298,-10.015,0.000
00079,2013-01-10,00:00:07,701,2357,-811.047,186.424,332,332,199,199,450.0,684.5,614,4294,3267800.592,59.045,nan
00080,2013-01-22,00:00:07,2401,2514,208.054,281.122,286,286,171,171,450.0,712.3,604,4655,2711718.295,4.672,nan
00081,2013-02-03,00:00:07,2105,2543,30.719,298.352,140,140,84,84,450.0,953.5,742,8355,434223.219,-4.269,nan
00082,2013-02-27,00:00:07,2206,1758,91.678,-172.514,116,116,69,69,450.0,585.1,551,1293,418328.599,67.219,nan
00083,2013-03-11,00:00:07,2409,1693,213.580,-211.889,194,194,116,116,450.0,645.6,577,3958,1078831.629,28.184,0.000
00084,2013-03-11,00:00:07,588,2522,-878.252,284.715,126,126,75,75,450.0,707.0,574,4564,63328.778,11.114,nan
00085,2013-03-23,00:00:07,3330,1471,765.288,-344.548,146,146,87,87,450.0,750.2,635,7687,517766.606,35.792,nan
00086,2013-04-04,00:00:07,2506,1577,271.998,-281.572,216,216,129,129,450.0,708.5,571,6492,1359404.874,-3.957,nan
00087,2013-04-16,00:00:07,1412,1638,-383.122,-245.469,192,192,115,115,450.0,762.1,637,5219,1581356.649,-121.080,nan
00088,2013-04-16,00:00:07,3285,2373,739.569,195.531,226,226,135,135,450.0,626.1,550,3864,714263.115,-11.658,nan
00089,2013-04-28,00:00:07,2798,1695,447.804,-211.301,130,130,78,78,450.0,750.0,580,11614,363072.809,-25.703,nan
00090,2013-04-28,00:00:07,1090,2409,-576.264,216.390,338,338,202,202,450.0,655.0,588,6001,3255259.693,22.612,nan
00091,2013-05-27,00:00:07,2541,1629,294.242,-251.661,118,118,70,70,450.0,625.6,545,4206,225449.624,2.520,nan
00092,2013-07-26,00:00:07,2945,1713,536.830,-201.496,176,176,105,105,450.0,641.3,571,1999,694758.768,21.151,nan
00093,2013-08-19,00:00:07,2419,2310,221.020,156.608,184,184,110,110,450.0,803.8,671,6154,744195.394,7.649,nan
00094,2013-08-31,00:00:07,2322,2211,163.058,97.418,162,162,97,97,450.0,579.9,534,2290,709044.144,-64.884,nan
00095,2013-09-24,00:00:07,1475,2151,-345.452,61.637,230,230,138,138,450.0,877.5,630,11368,507285.766,20.438,nan
00096,2013-11-11,00:00:07,2705,1599,390.795,-267.851,290,290,174,174,450.0,672.0,568,12894,2564725.698,-14.784,nan
00098,2013-12-05,00:00:07,954,1438,-659.403,-364.510,148,148,88,88,450.0,1383.3,724,10248,68596.362,1.902,nan
00099,2013-12-29,00:00:07,3077,1647,612.229,-238.096,272,272,163,163,450.0,726.0,617,4614,2102854.820,16.721,137.883
00100,2014-01-10,00:00:07,2843,1956,472.414,-53.220,222,222,133,133,450.0,612.2,563,2364,1846101.120,41.956,0.000
00101,2014-01-10,00:00:07,932,2573,-673.330,316.279,114,114,68,68,450.0,686.2,557,3936,276183.647,6.482,nan
00102,2014-01-22,00:00:07,2259,2499,122.533,272.173,182,182,109,109,450.0,692.8,605,2423,1122328.063,-10.582,nan
00106,2014-02-03,00:00:07,1845,2465,-125.575,251.581,284,284,170,170,450.0,1203.8,615,14044,1849087.974,22.837,nan
00107,2014-02-15,00:00:07,3025,1900,581.952,-87.007,306,306,183,183,450.0,720.3,620,5775,5272904.371,42.312,nan
00108,2014-02-27,00:00:07,3346,1870,774.392,-104.925,378,378,226,226,450.0,592.1,544,4484,3012265.527,16.449,nan
00109,2014-03-11,00:00:07,1171,1701,-529.518,-207.204,194,194,116,116,450.0,705.4,605,5711,1549151.586,-53.437,nan
00110,2014-04-04,00:00:07,1432,1899,-372.079,-88.615,210,210,126,126,450.0,707.2,591,4329,1795952.825,-31.288,nan
00111,2014-04-16,00:00:07,1586,1757,-279.968,-173.923,176,176,105,105,450.0,931.0,701,8239,804205.452,9.299,nan
00112,2014-06-08,00:00:07,1794,1690,-153.595,-215.154,138,138,82,82,450.0,1294.8,594,16383,598196.415,-61.587,nan
00114,2014-07-14,00:00:07,2450,2181,239.823,78.973,118,118,70,70,450.0,1119.6,817,5338,69774.709,3.422,0.000
00115,2014-08-31,00:00:07,3182,2127,677.662,47.394,112,112,67,67,450.0,568.3,538,1318,497240.011,17.325,nan
00116,2014-09-24,00:00:07,1221,1523,-497.721,-314.628,208,208,124,124,450.0,791.7,671,3406,772659.805,-18.326,nan
00117,2014-11-11,00:00:10,2281,2321,135.837,164.941,128,128,76,76,450.0,1224.4,874,9329,595893.720,3.848,0.000
00118,2014-12-17,00:00:07,1753,1549,-180.412,-297.575,190,190,114,114,450.0,877.7,600,7943,2149120.591,21.007,0.000
00127,2015-03-11,00:00:07,1312,1786,-444.492,-156.245,436,436,261,261,450.0,2987.5,814,16383,3232814.285,-0.489,nan
